generated_at_utc,series_name,cards_total,cards_with_tcgdex_id,cards_without_tcgdex_id,percent_with_tcgdex_id
2026-03-24T12:52:46.542Z,Base,494,494,0,100
2026-03-24T12:52:46.542Z,Black & White,1437,1437,0,100
2026-03-24T12:52:46.542Z,Call of Legends,106,106,0,100
2026-03-24T12:52:46.542Z,Diamond & Pearl,900,900,0,100
2026-03-24T12:52:46.542Z,E-Card,555,555,0,100
2026-03-24T12:52:46.542Z,EX,1726,1726,0,100
2026-03-24T12:52:46.542Z,Gym,264,264,0,100
2026-03-24T12:52:46.542Z,HeartGold & SoulSilver,439,439,0,100
2026-03-24T12:52:46.542Z,Legendary Collection,110,110,0,100
2026-03-24T12:52:46.542Z,McDonald's Collection,121,121,0,100
2026-03-24T12:52:46.542Z,Mega Evolution,669,633,36,94.6
2026-03-24T12:52:46.542Z,Neo,383,383,0,100
2026-03-24T12:52:46.542Z,Platinum,533,533,0,100
2026-03-24T12:52:46.542Z,POP,193,193,0,100
2026-03-24T12:52:46.542Z,Scarlet & Violet,3633,3633,0,100
2026-03-24T12:52:46.542Z,Sun & Moon,2973,2969,4,99.9
2026-03-24T12:52:46.542Z,Sword & Shield,3746,3729,17,99.5
2026-03-24T12:52:46.542Z,Trainer kits,406,406,0,100
2026-03-24T12:52:46.542Z,XY,1926,1926,0,100
2026-03-24T12:52:46.542Z,ALL_SERIES,20614,20557,57,99.7
