generated_at_utc,series_name,set_name,set_tcgdex_id,cards_total,cards_with_tcgdex_id,cards_without_tcgdex_id,percent_with_tcgdex_id
2026-03-24T06:34:18.660Z,Base,W Promotional,wp,0,0,0,0
2026-03-24T06:34:18.660Z,Black & White,BW Black Star Promos,bwp,101,99,2,98
2026-03-24T06:34:18.660Z,Black & White,Radiant Collection,rc,0,0,0,0
2026-03-24T06:34:18.660Z,E-Card,Aquapolis,ecard2,199,186,13,93.5
2026-03-24T06:34:18.660Z,E-Card,Sample,sp,0,0,0,0
2026-03-24T06:34:18.660Z,E-Card,Skyridge,ecard3,182,173,9,95.1
2026-03-24T06:34:18.660Z,EX,Holon Phantoms,ex13,111,11,100,9.9
2026-03-24T06:34:18.660Z,EX,Unseen Forces,ex10,145,117,28,80.7
2026-03-24T06:34:18.660Z,EX,Unseen Forces Unown Collection,exu,27,0,27,0
2026-03-24T06:34:18.660Z,Mega Evolution,Mega Evolution Energy,mee,0,0,0,0
2026-03-24T06:34:18.660Z,Mega Evolution,MEP Black Star Promos,mep,56,20,36,35.7
2026-03-24T06:34:18.660Z,Miscellaneous,Jumbo cards,jumbo,0,0,0,0
2026-03-24T06:34:18.660Z,Scarlet & Violet,Scarlet & Violet,sv01,258,159,99,61.6
2026-03-24T06:34:18.660Z,Scarlet & Violet,Surging Sparks,sv08,252,153,99,60.7
2026-03-24T06:34:18.660Z,Sun & Moon,Burning Shadows,sm3,177,169,8,95.5
2026-03-24T06:34:18.660Z,Sun & Moon,Celestial Storm,sm7,187,183,4,97.9
2026-03-24T06:34:18.660Z,Sun & Moon,Cosmic Eclipse,sm12,272,271,1,99.6
2026-03-24T06:34:18.660Z,Sun & Moon,Crimson Invasion,sm4,126,125,1,99.2
2026-03-24T06:34:18.660Z,Sun & Moon,Dragon Majesty,sm7.5,80,78,2,97.5
2026-03-24T06:34:18.660Z,Sun & Moon,Forbidden Light,sm6,150,146,4,97.3
2026-03-24T06:34:18.660Z,Sun & Moon,Guardians Rising,sm2,180,169,11,93.9
2026-03-24T06:34:18.660Z,Sun & Moon,Lost Thunder,sm8,240,236,4,98.3
2026-03-24T06:34:18.660Z,Sun & Moon,Shining Legends,sm3.5,81,78,3,96.3
2026-03-24T06:34:18.660Z,Sun & Moon,SM Black Star Promos,smp,251,244,7,97.2
2026-03-24T06:34:18.660Z,Sun & Moon,Sun & Moon,sm1,173,172,1,99.4
2026-03-24T06:34:18.660Z,Sun & Moon,Team Up,sm9,198,196,2,99
2026-03-24T06:34:18.660Z,Sun & Moon,Ultra Prism,sm5,178,173,5,97.2
2026-03-24T06:34:18.660Z,Sun & Moon,Unbroken Bonds,sm10,238,234,4,98.3
2026-03-24T06:34:18.660Z,Sun & Moon,Unified Minds,sm11,261,258,3,98.9
2026-03-24T06:34:18.660Z,Sword & Shield,Celebrations,cel25,51,47,4,92.2
2026-03-24T06:34:18.660Z,Sword & Shield,SWSH Black Star Promos,swshp,304,287,17,94.4
2026-03-24T06:34:18.660Z,XY,Yello A Alternate,xya,0,0,0,0
2026-03-24T06:34:18.660Z,ALL_SETS,,,4478,3984,494,89
