generated_at_utc,series_name,set_name,set_tcgdex_id,cards_total,cards_no_pricing_true,percent_no_pricing
2026-03-24T06:36:54.819Z,Base,Base Set,base1,102,2,2
2026-03-24T06:36:54.819Z,Base,Base Set 2,base4,130,3,2.3
2026-03-24T06:36:54.819Z,Base,Jungle,base2,64,1,1.6
2026-03-24T06:36:54.819Z,Base,Wizards Black Star Promos,basep,53,53,100
2026-03-24T06:36:54.819Z,Black & White,Boundaries Crossed,bw7,153,13,8.5
2026-03-24T06:36:54.819Z,Black & White,BW Black Star Promos,bwp,101,99,98
2026-03-24T06:36:54.819Z,Black & White,Dark Explorers,bw5,111,12,10.8
2026-03-24T06:36:54.819Z,Black & White,Dragons Exalted,bw6,128,14,10.9
2026-03-24T06:36:54.819Z,Black & White,Legendary Treasures,bw11,140,16,11.4
2026-03-24T06:36:54.819Z,Black & White,Next Destinies,bw4,103,12,11.7
2026-03-24T06:36:54.819Z,Black & White,Plasma Blast,bw10,105,11,10.5
2026-03-24T06:36:54.819Z,Black & White,Plasma Freeze,bw9,122,14,11.5
2026-03-24T06:36:54.819Z,Black & White,Plasma Storm,bw8,138,12,8.7
2026-03-24T06:36:54.819Z,Diamond & Pearl,Diamond & Pearl,dp1,130,4,3.1
2026-03-24T06:36:54.819Z,Diamond & Pearl,DP Black Star Promos,dpp,56,56,100
2026-03-24T06:36:54.819Z,Diamond & Pearl,Great Encounters,dp4,106,4,3.8
2026-03-24T06:36:54.819Z,Diamond & Pearl,Legends Awakened,dp6,146,9,6.2
2026-03-24T06:36:54.819Z,Diamond & Pearl,Majestic Dawn,dp5,100,2,2
2026-03-24T06:36:54.819Z,Diamond & Pearl,Mysterious Treasures,dp2,124,5,4
2026-03-24T06:36:54.819Z,Diamond & Pearl,Secret Wonders,dp3,132,7,5.3
2026-03-24T06:36:54.819Z,E-Card,Aquapolis,ecard2,199,1,0.5
2026-03-24T06:36:54.819Z,E-Card,Best of game,bog,9,4,44.4
2026-03-24T06:36:54.819Z,E-Card,Skyridge,ecard3,182,2,1.1
2026-03-24T06:36:54.819Z,EX,Dragon Frontiers,ex15,101,5,5
2026-03-24T06:36:54.819Z,EX,FireRed & LeafGreen,ex6,116,3,2.6
2026-03-24T06:36:54.819Z,EX,Hidden Legends,ex5,102,3,2.9
2026-03-24T06:36:54.819Z,EX,Team Magma vs Team Aqua,ex4,97,2,2.1
2026-03-24T06:36:54.819Z,EX,Team Rocket Returns,ex7,111,1,0.9
2026-03-24T06:36:54.819Z,Gym,Gym Challenge,gym2,132,2,1.5
2026-03-24T06:36:54.819Z,HeartGold & SoulSilver,HeartGold SoulSilver,hgss1,124,4,3.2
2026-03-24T06:36:54.819Z,HeartGold & SoulSilver,HGSS Black Star Promos,hgssp,25,25,100
2026-03-24T06:36:54.819Z,HeartGold & SoulSilver,Triumphant,hgss4,103,2,1.9
2026-03-24T06:36:54.819Z,HeartGold & SoulSilver,Undaunted,hgss3,91,2,2.2
2026-03-24T06:36:54.819Z,HeartGold & SoulSilver,Unleashed,hgss2,96,4,4.2
2026-03-24T06:36:54.819Z,Legendary Collection,Legendary Collection,lc,110,2,1.8
2026-03-24T06:36:54.819Z,McDonald's Collection,Macdonald's Collection 2016,2016xy,12,5,41.7
